# Rudder spanwise parametrisation, one station per row, root first
# source   : Wind_Tunnel_Rudder.stp
# frame    : origin at the root leading edge; +X LE->TE, +Y root->tip, +Z thickness
# units    : lengths mm, angles deg, shape parameters / chord
# sweep and dihedral: 'cumulative' is measured from the spanwise vertical through the
#            root reference point to the line joining it to that station's reference
#            point; 'local' is the tangent, d(offset)/d(span). Equal for a straight edge.
# twist    : angle of the section chord line, positive nose-up (LE on the +Z side)
# rows     : 200, y = 0.000000 up to 200.000000 mm
# load     : np.loadtxt(path)  -> (200, 23)
#
# columns
#    1  y                [ mm]  station height above the root
#    2  eta              [  -]  y / span
#    3  chord            [ mm]  true LE->TE length in the section plane
#    4  chord_x          [ mm]  chordwise projection of the chord
#    5  x_le             [ mm]  leading-edge x
#    6  z_le             [ mm]  leading-edge z
#    7  x_te             [ mm]  trailing-edge x
#    8  z_te             [ mm]  trailing-edge z
#    9  sweep_le         [deg]  cumulative LE sweep from the root LE, positive aft
#   10  sweep_c4         [deg]  cumulative quarter-chord sweep, positive aft
#   11  sweep_c2         [deg]  cumulative mid-chord sweep, positive aft
#   12  sweep_te         [deg]  cumulative TE sweep, positive aft
#   13  sweep_le_local   [deg]  local LE sweep, d(x_le)/d(span)
#   14  sweep_c4_local   [deg]  local quarter-chord sweep
#   15  rake             [ mm]  LE offset out of the planform plane (propeller rake)
#   16  dihedral         [deg]  cumulative dihedral / rake angle, positive toward +Z
#   17  dihedral_local   [deg]  local dihedral angle
#   18  twist            [deg]  section twist / pitch angle, positive nose-up
#   19  t_over_c         [  -]  maximum thickness / chord
#   20  x_tmax           [  -]  x/c of maximum thickness
#   21  camber           [  -]  maximum camber / chord, signed
#   22  x_cmax           [  -]  x/c of maximum camber, NaN on a symmetric section
#   23  r_le             [  -]  leading-edge radius / chord
#
# fitted form of each distribution
#   chord            linear                 mean +159.092041  spread 2.120e+01
#   chord_x          linear                 mean +159.092041  spread 2.120e+01
#   x_le             linear                 mean +7.000000  spread 7.000e+00
#   z_le             constant               mean -0.000000  spread 2.343e-05
#   x_te             linear                 mean +166.092041  spread 1.420e+01
#   z_te             constant               mean +0.000000  spread 2.307e-07
#   sweep_le         constant               mean +4.004173  spread 4.366e-11
#   sweep_c4         constant               mean +0.974568  spread 4.078e-11
#   sweep_c2         constant               mean -2.060491  spread 3.950e-11
#   sweep_te         constant               mean -8.079481  spread 3.038e-11
#   sweep_le_local   constant               mean +4.004173  spread 5.937e-09
#   sweep_c4_local   constant               mean +0.974568  spread 4.472e-09
#   rake             constant               mean -0.000000  spread 2.343e-05
#   dihedral         constant               mean -0.000000  spread 6.713e-06
#   dihedral_local   constant               mean -0.000013  spread 2.000e-03
#   twist            constant               mean -0.000000  spread 9.708e-06
#   t_over_c         linear                 mean +0.161986  spread 5.019e-04
#   x_tmax           constant               mean +0.303481  spread 9.406e-04
#   camber           constant               mean -0.000001  spread 1.051e-06
#   x_cmax           undetermined
#   r_le             constant               mean +0.027272  spread 9.216e-05
#
#                  y                  eta                chord              chord_x                 x_le                 z_le                 x_te                 z_te             sweep_le             sweep_c4             sweep_c2             sweep_te       sweep_le_local       sweep_c4_local                 rake             dihedral       dihedral_local                twist             t_over_c               x_tmax               camber               x_cmax                 r_le
        11.055276382          0.050695938        177.944384090        177.944384090          0.773869347          0.000000000        178.718253436          0.000000179          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000058          0.161605457          0.302776604         -0.000000591                  nan          0.027202633
        12.060301508          0.055304660        177.731363264        177.731363264          0.844221106          0.000000000        178.575584370          0.000000177          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000057          0.161609087          0.302783324         -0.000000591                  nan          0.027203292
        13.065326633          0.059913382        177.518342439        177.518342439          0.914572864          0.000000000        178.432915303          0.000000176          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000057          0.161612726          0.302790061         -0.000000591                  nan          0.027203952
        14.070351759          0.064522103        177.305321613        177.305321613          0.984924623          0.000000000        178.290246236          0.000000174          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000056          0.161616374          0.302796812         -0.000000592                  nan          0.027204614
        15.075376884          0.069130825        177.092300788        177.092300788          1.055276382          0.000000000        178.147577170          0.000000172          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000056          0.161620030          0.302803580         -0.000000592                  nan          0.027205278
        16.080402010          0.073739547        176.879279962        176.879279962          1.125628141          0.000000000        178.004908103          0.000000170          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000055          0.161623696          0.302810363         -0.000000592                  nan          0.027205943
        17.085427136          0.078348268        176.666259137        176.666259137          1.195979899          0.000000000        177.862239037          0.000000169          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000055          0.161627370          0.302817161         -0.000000592                  nan          0.027206610
        18.090452261          0.082956990        176.453238312        176.453238312          1.266331658          0.000000000        177.719569970          0.000000167          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000054          0.161631054          0.302823976         -0.000000592                  nan          0.027207279
        19.095477387          0.087565712        176.240217486        176.240217486          1.336683417          0.000000000        177.576900903          0.000000166          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000054          0.161634746          0.302830806         -0.000000592                  nan          0.027207949
        20.100502513          0.092174433        176.027196661        176.027196661          1.407035176          0.000000000        177.434231837          0.000000164          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000053          0.161638448          0.302837652         -0.000000592                  nan          0.027208621
        21.105527638          0.096783155        175.814175835        175.814175835          1.477386935          0.000000000        177.291562770          0.000000163          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000053          0.161642158          0.302844514         -0.000000592                  nan          0.027209295
        22.110552764          0.101391877        175.601155010        175.601155010          1.547738693          0.000000000        177.148893703          0.000000161          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000053          0.161645878          0.302851392         -0.000000592                  nan          0.027209970
        23.115577889          0.106000598        175.388134185        175.388134185          1.618090452          0.000000000        177.006224637          0.000000160          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000052          0.161649607          0.302858286         -0.000000592                  nan          0.027210648
        24.120603015          0.110609320        175.175113359        175.175113359          1.688442211          0.000000000        176.863555570          0.000000159          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000052          0.161653345          0.302865196         -0.000000592                  nan          0.027211326
        25.125628141          0.115218042        174.962092534        174.962092534          1.758793970          0.000000000        176.720886504          0.000000157          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000052          0.161657092          0.302872122         -0.000000592                  nan          0.027212007
        26.130653266          0.119826763        174.749071708        174.749071708          1.829145729          0.000000000        176.578217437          0.000000156          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000051          0.161660848          0.302879064         -0.000000592                  nan          0.027212689
        27.135678392          0.124435485        174.536050883        174.536050883          1.899497487          0.000000000        176.435548370          0.000000155          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000051          0.161664614          0.302886023         -0.000000592                  nan          0.027213373
        28.140703518          0.129044207        174.323030057        174.323030057          1.969849246          0.000000000        176.292879304          0.000000154          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000051          0.161668389          0.302892998         -0.000000592                  nan          0.027214059
        29.145728643          0.133652928        174.110009232        174.110009232          2.040201005          0.000000000        176.150210237          0.000000153          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161672173          0.302899989         -0.000000592                  nan          0.027214746
        30.150753769          0.138261650        173.896988407        173.896988407          2.110552764          0.000000000        176.007541170          0.000000152          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161675967          0.302906997         -0.000000592                  nan          0.027215435
        31.155778894          0.142870372        173.683967581        173.683967581          2.180904523          0.000000000        175.864872104          0.000000151          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161679770          0.302914021         -0.000000592                  nan          0.027216126
        32.160804020          0.147479093        173.470946756        173.470946756          2.251256281          0.000000000        175.722203037          0.000000150          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161683582          0.302921061         -0.000000592                  nan          0.027216819
        33.165829146          0.152087815        173.257925930        173.257925930          2.321608040          0.000000000        175.579533971          0.000000150          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161687404          0.302928119         -0.000000592                  nan          0.027217514
        34.170854271          0.156696537        173.044905105        173.044905105          2.391959799          0.000000000        175.436864904          0.000000149          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161691236          0.302935193         -0.000000592                  nan          0.027218210
        35.175879397          0.161305259        172.831884279        172.831884279          2.462311558          0.000000000        175.294195837          0.000000148          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161695077          0.302942283         -0.000000592                  nan          0.027218908
        36.180904523          0.165913980        172.618863454        172.618863454          2.532663317          0.000000000        175.151526771          0.000000148          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161698927          0.302949391         -0.000000592                  nan          0.027219608
        37.185929648          0.170522702        172.405842629        172.405842629          2.603015075          0.000000000        175.008857704          0.000000147          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161702788          0.302956515         -0.000000592                  nan          0.027220309
        38.190954774          0.175131424        172.192821803        172.192821803          2.673366834          0.000000000        174.866188637          0.000000147          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161706658          0.302963656         -0.000000592                  nan          0.027221013
        39.195979899          0.179740145        171.979800978        171.979800978          2.743718593          0.000000000        174.723519571          0.000000147          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161710537          0.302970814         -0.000000592                  nan          0.027221718
