# Rudder cross-sectional airfoil coordinates
# source        : Wind_Tunnel_Rudder.stp
# frame         : origin at the root leading edge; +X LE->TE, +Y root->tip, +Z thickness
# n_sections    : 200
# n_points      : 200 per section
# section order : TOP to BOTTOM, y = 200.000000 down to y = 0.000000 mm, evenly spaced
# point order   : Selig, TE -> upper -> LE -> lower -> TE
# columns       : x_mm y_mm in that section's own airfoil frame, x = 0 at its LE
#                 and growing aft, y = thickness with the +Z side positive
# 3D recovery   : X = x_le + x_mm,  Y = y_section,  Z = y_mm
# load          : np.loadtxt(path).reshape(200, 200, 2)
# top station   : y = 200.000000 mm, the top of the leading edge (top of the b-rep leading-edge curve)
#                 the tip surface is inclined, so horizontal cuts above this station
#                 cut through the tip blend instead of a complete airfoil and are
#                 not included here
#
# SECTION 1 / 200   y = 200.000000   chord = 137.896469   x_le = 14.000000   x_te = 151.896469
#               x_mm               y_mm
# SECTION 2 / 200   y = 198.994975   chord = 138.109490   x_le = 13.929648   x_te = 152.039138
#               x_mm               y_mm
       138.109489736        0.000000000
       138.074723599        0.225699313
       137.970460193        0.434988194
       137.796804504        0.609307465
       137.553931389        0.724356349
       137.242085398        0.783803089
       136.861580536        0.853048150
       136.412799938        0.934427137
       135.896195488        1.027713823
       135.312287363        1.132652093
       134.661663510        1.248967704
       133.944979051        1.376343170
       133.162955626        1.514448740
       132.316380667        1.662921321
       131.406106604        1.821387312
       130.433050004        1.989439474
       129.398190655        2.166667991
       128.302570570        2.352636170
       127.147292947        2.546901678
       125.933521052        2.749001465
       124.662477052        2.958463238
       123.335440778        3.174818511
       121.953748445        3.397569162
       120.518791299        3.626231340
       119.032014222        3.860292660
       117.494914270        4.099262208
       115.909039174        4.342621974
       114.275985775        4.589858684
       112.597398419        4.840457443
       110.874967303        5.093890052
       109.110426767        5.349629503
       107.305553555        5.607138900
       105.462165022        5.865886867
       103.582117302        6.125324546
       101.667303445        6.384902884
        99.719651506        6.644060258
        97.741122605        6.902231043
        95.733708954        7.158843775
        93.699431847        7.413298958
        91.640339629        7.665017494
        89.558505632        7.913389742
        87.456026086        8.157796337
        85.335018010        8.397613343
        83.197617078        8.632202114
        81.045975474        8.860919538
        78.882259716        9.083113076
        76.708648484        9.298122948
        74.527330419        9.505271042
        72.340501925        9.703885664
        70.150364953        9.893299920
        67.959124783       10.072814295
        65.768987810       10.241769618
        63.582159316       10.399492075
        61.400841252       10.545297336
        59.227230020       10.678549257
        57.063514262       10.798603120
